,movie_title,avg_rating,total_votes,genre1,genre2,genre3,#_10s,#_9s,#_8s,#_7s,#_6s,#_5s,#_4s,#_3s,#_2s,#_1s,#_male_votes,#_female_votes,#_u18,#_u18m,#_u18f,#_18-29,#_18-29m,#_18-29f,#_30-44,#_30-44m,#_30-44f,#_a45,#_a45m,#_a45f,#_votes_top1000users,#_votes_inUS,#_votes_notUS,avgr_male,avgr_female,avgr_u18,avgr_u18m,avgr_u18f,avgr_18-29,avgr_18-29m,avgr_18-29f,avgr_30-44,avgr_30-44m,avgr_30-44f,avgr_a45,avgr_a45m,avgr_a45f,avgr_imdbstaff,avgr_top1000users,avgr_US_users,avgr_notUD_users,director_name,actor_2_name,gross,actor_1_name,#_voted_users,actor_3_name,language,country,budget,title_year,imdb_score
45,Philomena,7.6,"81,855",Biography,Drama,,6420,12446,30264,22752,6670,1743,599,293,163,506,49275,20366,151,102,44,25522,16846,8377,29308,21323,7568,11825,8544,3079,436,12916,42480.0,7.6,7.7,7.8,7.7,8.0,7.6,7.6,7.7,7.6,7.5,7.7,7.8,7.7,7.9,7.9,7.1,7.7,7.6,Stephen Frears,Mare Winningham,37707719.0,Steve Coogan,76094,Peter Hermann,English,UK,12000000.0,2013.0,7.6
46,Prisoners,8.1,"441,037",Crime,Drama,Mystery,57400,110853,161533,77122,20845,6515,2540,1376,897,1978,297561,59221,1332,1075,248,177661,144671,31288,132740,111870,19074,23642,19293,3934,650,48353,208355.0,8.1,8.0,8.6,8.6,8.7,8.2,8.2,8.1,7.9,7.9,7.9,7.7,7.7,7.8,7.9,7.6,8.1,8.0,Denis Villeneuve,Jake Gyllenhaal,60962878.0,Hugh Jackman,383591,Dylan Minnette,English,USA,46000000.0,2013.0,8.1
47,Rise of the Planet of the Apes,7.6,"434,037",Action,Drama,Sci-Fi,38666,61881,150351,116877,40634,13541,5252,2524,1566,2773,320581,47940,1447,1234,202,165596,139939,24111,156688,137427,17241,29985,25601,3873,746,68084,213736.0,7.6,7.5,7.8,7.8,7.9,7.6,7.6,7.6,7.5,7.5,7.5,7.4,7.4,7.5,7.1,7.1,7.6,7.5,Rupert Wyatt,David Oyelowo,176740650.0,James Franco,403836,Tyler Labine,English,USA,93000000.0,2011.0,7.6
48,Rush,8.1,"345,486",Action,Biography,Drama,53667,90907,119603,57343,14948,4436,1625,803,633,1532,246354,35289,888,769,115,138327,119048,17987,105712,92487,11717,20105,17096,2660,593,30738,168519.0,8.1,8.0,8.3,8.3,8.0,8.3,8.3,8.2,8.0,8.0,7.9,7.8,7.8,7.8,7.4,7.1,7.9,8.1,Ron Howard,Olivia Wilde,26903709.0,Chris Hemsworth,312629,Alexandra Maria Lara,English,UK,38000000.0,2013.0,8.1
49,Scott Pilgrim vs. the World,7.5,"297,633",Action,Comedy,Romance,47292,48976,79198,59689,28452,13451,6977,4254,3069,6287,208417,45718,1022,791,221,129202,99363,28557,102986,88456,13334,14195,12157,1778,677,56559,150511.0,7.5,7.4,8.1,8.2,8.0,7.6,7.7,7.5,7.4,7.4,7.2,7.1,7.1,7.0,7.8,6.6,7.8,7.4,Edgar Wright,Kieran Culkin,31494270.0,Anna Kendrick,273921,Ellen Wong,English,USA,60000000.0,2010.0,7.5
50,Shutter Island,8.1,"871,391",Mystery,Thriller,,150405,230844,278844,132349,45167,15615,7061,3780,2662,4703,570554,136360,2321,1811,494,364786,283316,78332,263273,217923,42222,43235,35277,7256,840,108244,419648.0,8.1,8.2,8.6,8.6,8.8,8.4,8.4,8.4,7.9,7.9,8.0,7.5,7.4,7.6,7.3,7.6,7.8,8.1,Martin Scorsese,Joseph Sikora,127968405.0,Leonardo DiCaprio,786092,Nellie Sciutto,English,USA,80000000.0,2010.0,8.1
51,Sicario,7.6,"250,849",Action,Crime,Drama,19576,40247,85359,64633,24920,8548,3261,1669,970,1689,178321,21448,730,650,73,86373,75660,9762,84517,75208,8116,17615,15277,2011,526,30824,118922.0,7.6,7.3,7.8,7.8,7.2,7.7,7.7,7.3,7.5,7.6,7.2,7.6,7.6,7.4,8.0,7.2,7.8,7.6,Denis Villeneuve,Bernardo Saracino,46875468.0,Edgar Arreola,196217,Daniel Kaluuya,English,USA,30000000.0,2015.0,7.6
52,Silver Linings Playbook,7.8,"570,344",Comedy,Drama,Romance,73783,107247,184382,123467,46614,17257,6997,3682,2457,4470,338051,131000,1548,875,660,236404,160001,73922,170543,129880,38160,32839,24722,7550,733,79953,259084.0,7.8,7.7,8.1,8.1,8.1,7.9,7.9,7.7,7.6,7.7,7.6,7.6,7.6,7.7,8.0,6.9,8.0,7.6,David O. Russell,Robert De Niro,132088910.0,Jennifer Lawrence,533607,Bradley Cooper,English,USA,21000000.0,2012.0,7.8
53,Skyfall,7.8,"552,367",Action,Adventure,Thriller,69286,105160,178610,119630,45168,16321,6682,3706,2378,5440,391158,65929,1726,1443,264,211059,175769,33140,178148,153888,21704,40529,34070,5793,802,73825,262166.0,7.7,7.7,8.2,8.2,7.9,7.9,7.9,7.8,7.6,7.6,7.6,7.7,7.7,7.9,7.6,7.4,8.0,7.6,Sam Mendes,Helen McCrory,304360277.0,Albert Finney,522030,Rory Kinnear,English,UK,200000000.0,2012.0,7.8
54,Skyfall,7.8,"552,367",Action,Adventure,Thriller,69286,105160,178610,119630,45168,16321,6682,3706,2378,5440,391158,65929,1726,1443,264,211059,175769,33140,178148,153888,21704,40529,34070,5793,802,73825,262166.0,7.7,7.7,8.2,8.2,7.9,7.9,7.9,7.8,7.6,7.6,7.6,7.7,7.7,7.9,7.6,7.4,8.0,7.6,Sam Mendes,Helen McCrory,304360277.0,Albert Finney,522048,Rory Kinnear,English,UK,200000000.0,2012.0,7.8
55,Spotlight,8.1,"279,211",Crime,Drama,History,35421,72285,100793,49236,13488,4034,1365,698,517,1388,173290,43313,1197,961,223,104770,81050,22603,79398,64865,13310,17981,14134,3485,568,33235,125291.0,8.1,8.1,8.3,8.3,8.4,8.2,8.2,8.2,8.0,8.0,8.0,8.1,8.0,8.4,8.6,7.5,8.3,8.0,Tom McCarthy,Jamey Sheridan,44988180.0,Billy Crudup,195333,Brian d'Arcy James,English,USA,20000000.0,2015.0,8.1
56,Star Trek Into Darkness,7.8,"421,473",Action,Adventure,Sci-Fi,59347,81516,136088,87940,32150,11522,4862,2627,1739,3694,293195,54871,1167,919,235,139465,112847,25177,148254,127249,18897,35964,29756,5593,747,71968,181224.0,7.7,8.0,7.8,7.8,8.2,7.9,7.8,8.1,7.6,7.6,7.9,7.7,7.7,8.1,7.4,7.1,7.9,7.6,J.J. Abrams,Bruce Greenwood,228756232.0,Benedict Cumberbatch,395573,Noel Clarke,English,USA,190000000.0,2013.0,7.8
57,Straight Outta Compton,7.9,"144,011",Biography,Drama,History,24527,29039,48956,26956,7959,2418,921,531,427,2286,96591,14262,760,658,95,55050,47556,6918,40331,35072,4713,7220,5880,1214,393,23736,56104.0,7.9,8.0,8.3,8.3,8.6,8.0,8.0,8.0,7.7,7.7,7.8,7.4,7.3,7.7,7.9,6.8,7.9,7.7,F. Gary Gray,Neil Brown Jr.,161029270.0,Aldis Hodge,119928,R. Marcos Taylor,English,USA,28000000.0,2015.0,7.9
58,Tangled,7.8,"321,593",Animation,Adventure,Comedy,56575,54688,97207,70947,26805,8530,3043,1396,805,1606,166088,97213,1950,1048,885,144744,81897,61390,89588,63534,24912,15318,11277,3805,622,47643,148024.0,7.6,8.2,7.8,7.4,8.3,7.9,7.7,8.2,7.6,7.5,8.0,7.7,7.6,7.9,7.5,6.9,7.9,7.7,Nathan Greno,Donna Murphy,200807262.0,Brad Garrett,294810,M.C. Gainey,English,USA,260000000.0,2010.0,7.8
59,The Artist,7.9,"201,344",Comedy,Drama,Romance,31192,45532,61088,35456,13521,5549,2569,1561,1248,3627,133682,40741,363,269,92,78061,56575,20653,72326,56949,14301,19149,15042,3773,630,32063,109571.0,7.9,8.1,8.0,8.0,8.3,8.1,8.1,8.2,7.8,7.8,8.0,7.8,7.8,8.1,8.1,7.1,8.0,7.9,Michel Hazanavicius,Ed Lauter,44667095.0,Bérénice Bejo,190030,Beth Grant,English,France,15000000.0,2011.0,8.0
60,The Avengers,8.1,"1,056,773",Action,Sci-Fi,,260257,234203,264290,162604,67579,27957,12176,7201,4996,15528,691783,151617,4953,3767,1150,432999,343012,85465,295318,247617,43303,54282,44183,9138,842,145826,423958.0,8.0,8.2,8.2,8.2,8.5,8.1,8.1,8.3,8.0,8.0,8.1,7.9,7.9,8.1,7.9,7.4,8.3,7.9,Joss Whedon,Robert Downey Jr.,623279547.0,Chris Hemsworth,995415,Scarlett Johansson,English,USA,220000000.0,2012.0,8.1
61,The Avengers,8.1,"1,056,773",Action,Sci-Fi,,260257,234203,264290,162604,67579,27957,12176,7201,4996,15528,691783,151617,4953,3767,1150,432999,343012,85465,295318,247617,43303,54282,44183,9138,842,145826,423958.0,8.0,8.2,8.2,8.2,8.5,8.1,8.1,8.3,8.0,8.0,8.1,7.9,7.9,8.1,7.9,7.4,8.3,7.9,Joss Whedon,Robert Downey Jr.,623279547.0,Chris Hemsworth,995415,Scarlett Johansson,English,USA,220000000.0,2012.0,8.1
62,The Big Short,7.8,"254,317",Biography,Comedy,Drama,22879,48091,94303,58756,18650,6141,2253,1133,713,1415,167875,31804,982,825,147,93777,76925,15725,77242,65202,10813,16496,13532,2658,501,32587,115947.0,7.8,7.6,7.8,7.8,7.6,7.8,7.9,7.6,7.7,7.7,7.6,7.7,7.7,7.8,7.9,7.3,7.9,7.7,Adam McKay,Christian Bale,70235322.0,Ryan Gosling,182983,Charlie Talbert,English,USA,28000000.0,2015.0,7.8
63,The Book Thief,7.6,"107,880",Drama,War,,15911,17607,32570,24461,10274,3848,1387,726,342,755,59365,29422,481,206,270,41094,24058,16590,32014,23730,7792,10218,7635,2406,378,10845,52519.0,7.4,7.9,8.0,7.6,8.5,7.7,7.6,8.0,7.3,7.2,7.7,7.6,7.5,8.0,6.7,6.6,7.6,7.5,Brian Percival,Sophie Nélisse,21483154.0,Emily Watson,98741,Roger Allam,English,USA,19000000.0,2013.0,7.6
64,The Dark Knight Rises,8.4,"1,240,780",Action,Thriller,,380589,341965,281426,134959,50406,20106,9589,5713,4073,11988,842343,143070,4726,4023,672,509635,425041,79826,348324,299862,43434,55689,46968,7741,840,160533,501687.0,8.5,8.4,8.6,8.5,8.6,8.7,8.7,8.6,8.3,8.3,8.2,7.9,7.9,7.9,7.8,7.8,8.4,8.4,Christopher Nolan,Christian Bale,448130642.0,Tom Hardy,1144337,Joseph Gordon-Levitt,English,USA,250000000.0,2012.0,8.5
65,The Fault in Our Stars,7.8,"276,272",Drama,Romance,,62666,51004,70457,49770,21628,8843,3907,2173,1560,4271,128951,83384,2833,897,1910,127407,71749,54368,55300,38826,15674,10189,7180,2836,426,26518,110065.0,7.7,7.9,8.1,7.5,8.5,7.8,7.8,8.0,7.6,7.6,7.8,7.6,7.5,7.7,7.5,6.8,7.6,7.7,Josh Boone,Sam Trammell,124868837.0,Shailene Woodley,249688,Nat Wolff,English,USA,12000000.0,2014.0,7.8
66,The Fighter,7.8,"292,823",Action,Biography,Drama,27835,55315,117623,64849,17902,4969,1704,922,547,1163,220445,31021,447,388,57,119646,103848,14740,106479,93016,12203,17229,14289,2681,684,49851,153538.0,7.9,7.7,8.1,8.1,8.2,8.0,8.0,7.8,7.8,7.8,7.7,7.7,7.7,7.7,7.6,7.3,8.0,7.8,David O. Russell,Jack McGee,93571803.0,Christian Bale,275869,Melissa McMeekin,English,USA,25000000.0,2010.0,7.9
67,The Girl with the Dragon Tattoo,7.8,"352,566",Crime,Drama,Mystery,42288,71561,124463,72617,23722,8041,3339,1846,1330,3369,240171,62813,426,314,105,139185,104871,32900,126724,103186,21796,26933,21558,4922,710,56794,177937.0,7.8,7.9,8.1,8.1,8.2,8.0,8.0,7.9,7.7,7.7,7.8,7.7,7.7,7.9,7.9,7.4,8.0,7.8,David Fincher,Goran Visnjic,102515793.0,Robin Wright,330152,Joely Richardson,English,USA,90000000.0,2011.0,7.8
68,The Grand Budapest Hotel,8.1,"541,526",Adventure,Comedy,Drama,84258,142011,168705,88086,31632,12023,5455,3196,2204,3971,332149,96997,2083,1537,530,216106,158823,54913,153604,123255,27996,33156,26147,6375,679,58814,248067.0,8.1,8.2,8.6,8.6,8.5,8.2,8.2,8.3,7.9,7.9,8.0,7.8,7.8,7.9,8.0,7.7,8.1,8.0,Wes Anderson,Tom Wilkinson,59073773.0,Bill Murray,475518,F. Murray Abraham,English,USA,25000000.0,2014.0,8.1
69,The Help,8.1,"347,299",Drama,,,60811,82560,115917,57034,17268,6011,2456,1326,974,2948,173908,115762,990,507,474,136852,72944,62426,110695,72802,36317,28383,18891,9023,645,59445,157474.0,7.9,8.4,8.3,8.1,8.6,8.2,8.0,8.5,7.9,7.8,8.3,8.0,7.9,8.3,7.9,7.0,8.0,8.0,Tate Taylor,Bryce Dallas Howard,169705587.0,Emma Stone,318955,Mike Vogel,English,USA,25000000.0,2011.0,8.1
70,The Hobbit: An Unexpected Journey,7.9,"675,678",Adventure,Fantasy,,135848,132202,191128,122538,51765,19699,8227,4588,2845,6846,445566,104340,2577,1966,593,278388,217052,58630,195765,162768,30209,37575,30484,6457,785,78375,308010.0,7.8,8.1,8.0,7.9,8.3,8.0,8.0,8.2,7.7,7.7,7.9,7.7,7.6,8.0,7.0,7.5,7.8,7.8,Peter Jackson,Adam Brown,303001229.0,Aidan Turner,637246,James Nesbitt,English,USA,180000000.0,2012.0,7.9
71,The Hobbit: The Desolation of Smaug,7.9,"520,084",Adventure,Fantasy,,97766,101709,153173,95756,39268,15248,6452,3519,2251,4955,343498,74772,2463,1881,567,215009,170290,42613,144473,121518,20892,27811,22820,4514,716,56067,234354.0,7.8,8.1,8.1,8.0,8.5,8.0,8.0,8.2,7.7,7.7,7.9,7.7,7.6,7.9,7.1,7.5,7.8,7.8,Peter Jackson,Adam Brown,258355354.0,Aidan Turner,483540,James Nesbitt,English,USA,225000000.0,2013.0,7.9
72,The Hunger Games: Catching Fire,7.6,"531,466",Action,Adventure,Mystery,85219,83874,150153,121748,50575,18571,7591,4094,2675,6978,307237,115421,3650,1956,1664,218884,148652,67934,140683,109976,28735,27789,21545,5771,693,68521,221430.0,7.4,8.1,8.0,7.7,8.5,7.8,7.6,8.2,7.3,7.2,7.9,7.3,7.2,7.9,7.3,6.7,7.7,7.4,Francis Lawrence,Josh Hutcherson,424645577.0,Jennifer Lawrence,498397,Sandra Ellis Lafferty,English,USA,130000000.0,2013.0,7.6
73,The Imitation Game,8.1,"540,489",Biography,Drama,Thriller,80221,137855,187223,94784,25801,7553,2625,1311,824,2307,328283,92724,2703,1895,783,218870,163084,53533,141013,113989,24842,31492,24954,5984,637,48944,238440.0,8.0,8.3,8.5,8.3,8.8,8.2,8.1,8.4,7.8,7.8,8.1,8.0,7.9,8.3,8.2,7.3,8.0,8.0,Morten Tyldum,Rory Kinnear,91121452.0,Benedict Cumberbatch,467613,Allen Leech,English,UK,14000000.0,2014.0,8.1
74,The King's Speech,8.0,"540,240",Biography,Drama,,69976,129146,187772,100984,31083,10120,3991,2090,1385,3702,339153,108830,1150,827,311,212048,152316,57515,175900,137753,35664,41655,31784,9171,758,72154,272059.0,8.0,8.3,8.2,8.2,8.2,8.1,8.1,8.3,7.9,7.9,8.2,8.1,8.0,8.5,7.9,7.7,8.2,8.0,Tom Hooper,Jennifer Ehle,138795342.0,Colin Firth,503631,Derek Jacobi,English,UK,15000000.0,2010.0,8.0
75,The Lego Movie,7.8,"271,515",Animation,Action,Adventure,41269,50795,83773,55181,21793,8596,3680,2053,1466,2918,180122,37351,1887,1464,414,111043,89180,20677,77271,65191,11020,13346,11079,2032,579,42963,114308.0,7.8,7.7,8.2,8.2,7.9,7.9,8.0,7.7,7.6,7.6,7.5,7.4,7.4,7.4,8.1,7.2,8.0,7.6,Phil Lord,Will Ferrell,257756197.0,Morgan Freeman,246698,Alison Brie,English,Australia,60000000.0,2014.0,7.8
76,The Little Prince,7.8,"40,777",Animation,Adventure,Drama,7565,7321,11668,8558,3370,1162,456,227,158,293,22441,9552,226,128,96,15959,10150,5610,12174,9280,2682,1899,1496,355,198,3678,19009.0,7.6,8.1,8.0,7.8,8.2,7.9,7.8,8.2,7.6,7.5,7.9,7.5,7.4,7.9,7.0,6.6,7.7,7.7,Mark Osborne,James Franco,1339152.0,Jeff Bridges,28276,Mackenzie Foy,English,France,81200000.0,2015.0,7.8
77,The Martian,8.0,"569,347",Adventure,Drama,Sci-Fi,75560,139593,200315,102723,31179,9930,3815,2046,1316,2907,359265,71421,3206,2543,638,200653,161765,36790,161073,136425,22228,35406,29354,5409,671,61128,239125.0,8.0,8.1,8.4,8.4,8.5,8.1,8.1,8.1,7.9,7.9,7.9,8.0,7.9,8.2,8.2,7.8,8.1,7.9,Ridley Scott,Donald Glover,228430993.0,Matt Damon,472488,Benedict Wong,English,USA,108000000.0,2015.0,8.1
78,The Perks of Being a Wallflower,8.0,"382,665",Drama,Romance,,78615,85725,110727,64343,24268,8739,3881,2015,1324,3037,202178,108832,1980,807,1147,187119,112011,73101,89339,65550,22467,15562,11607,3660,572,48654,173536.0,8.0,8.1,8.4,8.3,8.5,8.1,8.1,8.2,7.8,7.8,7.8,7.7,7.7,7.7,8.2,7.0,8.1,7.9,Stephen Chbosky,Ezra Miller,17738570.0,Logan Lerman,351274,Kate Walsh,English,USA,13000000.0,2012.0,8.0
79,The Revenant,8.0,"512,526",Adventure,Drama,Thriller,79977,121229,158019,91154,33492,12837,5571,3386,2320,4570,323938,61051,2619,2141,458,186003,152198,31926,138923,118140,18699,28582,23782,4269,624,51493,213741.0,8.0,7.9,8.5,8.5,8.2,8.1,8.2,7.9,7.9,7.9,7.7,7.8,7.8,7.8,8.3,7.6,8.1,7.9,Alejandro G. Iñárritu,Tom Hardy,183635922.0,Leonardo DiCaprio,406020,Lukas Haas,English,USA,135000000.0,2015.0,8.1
80,The Social Network,7.7,"516,417",Biography,Drama,,60189,89515,161983,122694,46869,16288,6351,3284,2914,6346,351608,84711,1461,1142,309,225279,173908,49149,168440,139525,26636,28054,22588,4995,780,80615,265272.0,7.8,7.4,8.3,8.4,8.0,7.9,8.0,7.5,7.6,7.7,7.3,7.5,7.5,7.4,8.0,7.3,8.0,7.6,David Fincher,Dustin Fitzsimons,96917897.0,Andrew Garfield,479453,Marcella Lentz-Pope,English,USA,40000000.0,2010.0,7.7
81,The Theory of Everything,7.7,"305,145",Biography,Drama,Romance,36339,53814,104625,75080,23057,7013,2307,1075,575,1277,174408,67669,1668,945,698,128871,86550,40915,79860,61623,17002,17231,13186,3737,547,27641,140414.0,7.6,8.0,8.1,7.9,8.5,7.8,7.8,8.1,7.5,7.5,7.7,7.6,7.6,7.8,8.1,6.9,7.5,7.6,James Marsh,Emily Watson,35887263.0,Eddie Redmayne,265507,Simon McBurney,English,UK,15000000.0,2014.0,7.7
82,The Town,7.6,"297,426",Crime,Drama,Thriller,24170,42261,103949,83600,28025,8688,2970,1410,824,1533,226697,31345,313,271,38,113373,98021,14345,116868,102678,12897,20721,17520,2868,687,56681,156963.0,7.6,7.4,7.8,7.8,7.2,7.7,7.7,7.4,7.5,7.5,7.3,7.4,7.4,7.5,7.6,7.0,7.8,7.5,Ben Affleck,Jon Hamm,92173235.0,Jeremy Renner,280228,Owen Burke,English,USA,37000000.0,2010.0,7.6
83,The Wolf of Wall Street,8.2,"881,984",Biography,Comedy,Crime,171660,236650,250667,129164,46715,18682,8674,5854,4258,9689,559564,123698,3622,2842,757,360841,286627,70874,227096,189110,34712,39996,32676,6629,730,89006,366829.0,8.2,7.8,8.6,8.7,8.0,8.4,8.5,7.9,8.0,8.1,7.7,7.6,7.6,7.5,7.8,7.8,8.1,8.1,Martin Scorsese,Matthew McConaughey,116866727.0,Leonardo DiCaprio,780588,Jon Favreau,English,USA,100000000.0,2013.0,8.2
84,Toy Story 3,8.3,"596,385",Animation,Adventure,Comedy,139773,149992,158704,88289,31291,11850,4859,2932,2119,6586,389014,98386,3202,2405,776,260519,199962,58366,169886,140253,27658,32457,26171,5806,769,105490,267692.0,8.3,8.3,8.2,8.3,8.0,8.4,8.5,8.4,8.2,8.2,8.3,8.1,8.1,8.1,8.1,8.1,8.5,8.3,Lee Unkrich,John Ratzenberger,414984497.0,Tom Hanks,544884,Don Rickles,English,USA,200000000.0,2010.0,8.3
85,True Grit,7.6,"257,670",Adventure,Drama,Western,21094,40901,91825,67175,23055,7191,2678,1305,779,1672,197105,27125,381,340,35,89394,76864,11720,104201,91807,11163,25641,21885,3369,747,53749,137672.0,7.7,7.6,7.8,7.8,7.5,7.7,7.7,7.6,7.6,7.6,7.5,7.7,7.7,7.7,7.8,7.3,7.9,7.6,Ethan Coen,Jeff Bridges,171031347.0,Matt Damon,240962,Bruce Green,English,USA,38000000.0,2010.0,7.7
86,Tucker and Dale vs Evil,7.6,"138,624",Comedy,Horror,,16572,19818,44460,35863,13456,4588,1684,855,479,848,106144,15113,219,198,20,52889,45169,7232,56379,49634,6156,8861,7645,1072,540,26213,73918.0,7.5,7.7,7.7,7.7,8.2,7.6,7.6,7.6,7.5,7.5,7.7,7.5,7.4,7.7,7.5,7.1,7.7,7.5,Eli Craig,Tyler Labine,223615.0,Katrina Bowden,127842,Chelan Simmons,English,Canada,,2010.0,7.6
87,Warrior,8.2,"361,049",Action,Drama,Sport,74983,96953,106673,52972,16668,5727,2353,1205,1050,2479,270734,31075,673,583,84,153824,136536,16000,117636,105144,11019,15201,12960,1990,586,45342,176397.0,8.2,8.2,8.5,8.5,8.7,8.4,8.4,8.4,8.0,8.0,8.0,7.7,7.7,7.5,7.8,7.1,8.2,8.1,Gavin O'Connor,Frank Grillo,13651662.0,Tom Hardy,332276,Kevin Dunn,English,USA,25000000.0,2011.0,8.2
88,Whiplash,8.5,"492,285",Drama,Music,,110404,161864,132656,56007,16577,6031,2937,1859,1263,2723,308900,71066,2878,2200,660,205839,161853,41944,123712,102839,19018,23345,19072,3812,590,49868,213952.0,8.5,8.4,9.0,9.1,8.9,8.6,8.7,8.5,8.3,8.3,8.2,8.1,8.1,8.2,8.7,8.0,8.6,8.4,Damien Chazelle,Melissa Benoist,13092000.0,J.K. Simmons,399138,Chris Mulkey,English,USA,3300000.0,2014.0,8.5
89,Wreck-It Ralph,7.7,"295,125",Animation,Adventure,Comedy,41980,50262,96477,67934,24894,7748,2724,1190,703,1226,190983,50202,1663,1182,467,120962,90759,29003,90203,74767,14148,13706,11356,2112,614,44962,129487.0,7.7,7.8,7.9,7.9,8.0,7.9,7.9,7.9,7.6,7.6,7.7,7.4,7.4,7.5,7.4,7.2,7.9,7.6,Rich Moore,Sarah Silverman,189412677.0,Jack McBrayer,272534,Joe Lo Truglio,English,USA,165000000.0,2012.0,7.8
90,X-Men: Days of Future Past,8.0,"560,736",Action,Adventure,Sci-Fi,91765,127521,183578,104658,33027,10059,3710,1903,1225,3301,370835,71008,3038,2403,614,220178,179039,39094,158607,135392,20927,26834,22460,3884,710,67889,229049.0,8.0,8.1,8.4,8.4,8.6,8.1,8.1,8.2,7.8,7.8,8.0,7.7,7.7,7.9,7.5,7.4,8.1,7.9,Bryan Singer,Peter Dinklage,233914986.0,Jennifer Lawrence,514125,Hugh Jackman,English,USA,200000000.0,2014.0,8.0
91,X-Men: First Class,7.8,"556,713",Action,Adventure,Sci-Fi,64428,96219,200144,129352,41945,12861,4799,2349,1448,3182,382107,80444,2075,1612,443,223309,176821,44428,185909,157332,26094,30217,25051,4691,780,87542,257681.0,7.7,7.9,8.0,7.9,8.3,7.9,7.9,8.0,7.7,7.6,7.8,7.6,7.5,7.7,7.6,7.3,7.8,7.7,Matthew Vaughn,Michael Fassbender,146405371.0,Jennifer Lawrence,518537,Oliver Platt,English,USA,160000000.0,2011.0,7.8
